Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Siret Budget;Libellé Budget;Type de budget;Nomenclature;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;code_type_budget;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;3;Oui;Oui;Non;0;Non;97201;L'Ajoupa-Bouillon;Commune;219722014;97201;21972201400012;AJOUPA-BOUILLON;Budget principal;M57;Recettes totales;3520067.34;3.5200673399999998;1751;2010.3182981153625;1;1;1;;;;;;;;;;2024;1751
2024;Oui;02;Martinique;972;Martinique;249720053;Communauté d'agglomération de l'Espace Sud de la Martinique;5;Oui;Oui;Non;1;Non;97202;Les Anses-d'Arlet;Commune;219722022;97202;21972202200015;ANSES-D'ARLET;Budget principal;M57;Recettes totales;7431731.42;7.43173142;3780;1966.0665132275133;1;1;1;;;;;;;;;;2024;3780
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;4;Non;Oui;Non;1;Non;97203;Basse-Pointe;Commune;219722030;97203;21972203000018;BASSE-POINTE;Budget principal;M57;Recettes totales;7057237.15;7.057237150000001;2801;2519.542002856123;1;1;1;;;;;;;;;;2024;2801
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;5;Non;Oui;Non;2;Non;97204;Le Carbet;Commune;219722048;97204;21972204800010;CARBET;Budget principal;M57;Recettes totales;7365584.82;7.3655848200000005;3560;2068.9845;1;1;1;;;;;;;;;;2024;3560
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;5;Non;Oui;Non;2;Non;97205;Case-Pilote;Commune;219722055;97205;21972205500015;CASE-PILOTE;Budget principal;M57;Recettes totales;9892490.31;9.892490310000001;4558;2170.357681000439;1;1;1;;;;;;;;;;2024;4558
2024;Oui;02;Martinique;972;Martinique;249720053;Communauté d'agglomération de l'Espace Sud de la Martinique;6;Non;Oui;Non;2;Non;97206;Le Diamant;Commune;219722063;97206;21972206300019;DIAMANT;Budget principal;M57;Recettes totales;11681994.96;11.68199496;5752;2030.9448817802504;1;1;1;;;;;;;;;;2024;5752
2024;Oui;02;Martinique;972;Martinique;249720053;Communauté d'agglomération de l'Espace Sud de la Martinique;7;Non;Non;Non;1;Non;97207;Ducos;Commune;219722071;97207;21972207100012;DUCOS;Budget principal;M57;Recettes totales;31778402.39;31.77840239;18166;1749.3340520753056;1;1;1;;;;;;;;;;2024;18166
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;3;Oui;Oui;Non;0;Non;97208;Fonds-Saint-Denis;Commune;219722089;97208;21972208900014;FONDS-SAINT-DENIS;Budget principal;M57;Recettes totales;1510858.37;1.51085837;651;2320.826989247312;1;1;1;;;;;;;;;;2024;651
2024;Oui;02;Martinique;972;Martinique;249720061;Communauté d'agglomération du Centre de la Martinique;9;Non;Oui;Non;1;Non;97209;Fort-de-France;Commune;219722097;97209;21972209700017;FORT-DE-FRANCE;Budget principal;M57;Recettes totales;193271157.89;193.27115788999998;75627;2555.5840888835996;1;1;1;;;;;;;;;;2024;75627
2024;Oui;02;Martinique;972;Martinique;249720053;Communauté d'agglomération de l'Espace Sud de la Martinique;7;Non;Oui;Non;2;Non;97210;Le François;Commune;219722105;97210;21972210500018;FRANCOIS;Budget principal;M57;Recettes totales;32271060.1;32.2710601;16146;1998.703090548743;1;1;1;;;;;;;;;;2024;16146
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;3;Oui;Oui;Non;0;Non;97211;Grand'Rivière;Commune;219722113;97211;21972211300012;GRAND-RIVIERE;Budget principal;M57;Recettes totales;1503936.36;1.5039363600000002;544;2764.588897058824;1;1;1;;;;;;;;;;2024;544
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;6;Non;Oui;Non;1;Non;97212;Gros-Morne;Commune;219722121;97212;21972212100015;GROS-MORNE;Budget principal;M57;Recettes totales;19356811.96;19.35681196;9960;1943.455016064257;1;1;1;;;;;;;;;;2024;9960
2024;Oui;02;Martinique;972;Martinique;249720061;Communauté d'agglomération du Centre de la Martinique;8;Non;Oui;Non;1;Non;97213;Le Lamentin;Commune;219722139;97213;21972213900017;LAMENTIN;Budget principal;M57;Recettes totales;94828110.61;94.82811061;40099;2364.84976208883;1;1;1;;;;;;;;;;2024;40099
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;6;Non;Oui;Non;0;Non;97214;Le Lorrain;Commune;219722147;97214;21972214700010;LORRAIN;Budget principal;M57;Recettes totales;15384655.57;15.38465557;6732;2285.302372251931;1;1;1;;;;;;;;;;2024;6732
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;3;Oui;Oui;Non;0;Non;97215;Macouba;Commune;219722154;97215;21972215400016;MACOUBA;Budget principal;M57;Recettes totales;2091714.08;2.09171408;1021;2048.6915572967678;1;1;1;;;;;;;;;;2024;1021
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;4;Non;Oui;Non;1;Non;97216;Le Marigot;Commune;219722162;97216;21972216200019;MARIGOT;Budget principal;M57;Recettes totales;5922505.84;5.9225058399999995;3080;1922.8915064935065;1;1;1;;;;;;;;;;2024;3080
2024;Oui;02;Martinique;972;Martinique;249720053;Communauté d'agglomération de l'Espace Sud de la Martinique;6;Non;Oui;Oui;1;Non;97217;Le Marin;Commune;219722170;97217;21972217000012;MARIN;Budget principal;M57;Recettes totales;25731872.69;25.731872690000003;8658;2972.034267729268;1;1;1;;;;;;;;;;2024;8658
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;5;Non;Oui;Non;1;Non;97218;Le Morne-Rouge;Commune;219722188;97218;21972218800014;MORNE-ROUGE;Budget principal;M57;Recettes totales;7959495.0;7.959495;4608;1727.3209635416667;1;1;1;;;;;;;;;;2024;4608
2024;Oui;02;Martinique;972;Martinique;200041788;Communauté d'agglomération du Pays Nord Martinique;3;Oui;Oui;Non;0;Non;97219;Le Prêcheur;Commune;219722196;97219;21972219600017;PRECHEUR;Budget principal;M57;Recettes totales;3491399.45;3.4913994500000003;1388;2515.4174711815563;1;1;1;;;;;;;;;;2024;1388
